(7, 7)
(8, 7)
(7, 8)
(7, 6)
(9, 8)
(8, 8)
(8, 9)
(9, 10)
(7, 10)
(6, 11)
(7, 9)
(7, 11)
(6, 9)
(5, 9)
(8, 11)
(5, 8)
(5, 7)
(6, 7)
(4, 9)
(8, 5)
(9, 4)
(8, 6)
(8, 4)
(6, 5)
(4, 6)
(6, 8)
(6, 4)
(7, 4)
(7, 5)
(6, 6)
(9, 6)
(4, 7)
(5, 6)
(9, 5)
(10, 9)
(9, 9)
(9, 12)
(10, 13)
(8, 12)
(8, 10)
(6, 12)
(7, 12)
(10, 10)
(10, 8)
(11, 7)
(11, 9)
(11, 6)
(10, 7)
(11, 4)
(11, 5)
(10, 5)
(8, 3)
(5, 3)
(5, 4)
(4, 3)
(6, 3)
(4, 2)
(3, 1)
(4, 4)
(4, 5)
(3, 6)
(3, 5)
(12, 4)
(10, 4)
(12, 3)
(13, 2)
(12, 2)
(12, 5)
(7, 3)
(8, 2)
(9, 3)
(9, 2)
(10, 1)
(7, 2)
(8, 1)
(10, 2)
(11, 2)
(6, 2)
White win
