(7, 7)
(8, 8)
(8, 7)
(9, 7)
(7, 9)
(7, 8)
(6, 8)
(5, 7)
(5, 9)
(4, 10)
(6, 9)
(8, 9)
(6, 7)
(6, 6)
(4, 9)
(3, 9)
(4, 8)
(6, 10)
(5, 8)
(3, 10)
(4, 7)
(7, 10)
(5, 10)
(3, 8)
(3, 7)
(5, 12)
(6, 11)
(3, 12)
(3, 11)
(4, 11)
(2, 9)
(4, 12)
(2, 12)
(4, 6)
(7, 12)
(8, 13)
(2, 6)
(1, 5)
(2, 8)
(2, 7)
(7, 6)
(8, 5)
(9, 5)
(8, 6)
(10, 8)
(4, 13)
(4, 14)
(2, 11)
(1, 10)
(6, 13)
(7, 14)
(7, 13)
(5, 13)
(5, 4)
(6, 4)
(5, 11)
(6, 12)
(8, 12)
(9, 11)
(7, 11)
(9, 13)
(8, 10)
(8, 11)
(3, 5)
(2, 5)
(3, 6)
(4, 5)
(2, 4)
(1, 3)
(3, 3)
(4, 2)
(11, 12)
(9, 10)
(9, 12)
(3, 4)
(5, 3)
(5, 2)
(4, 3)
(2, 3)
(5, 6)
(5, 5)
(6, 2)
(10, 9)
(11, 8)
(9, 8)
(11, 10)
(6, 5)
Black win
