(7, 7)
(6, 7)
(7, 6)
(7, 5)
(8, 6)
(6, 6)
(6, 8)
(9, 5)
(8, 4)
(8, 5)
(6, 5)
(7, 8)
(5, 6)
(5, 4)
(4, 7)
(3, 8)
(5, 9)
(4, 10)
(4, 8)
(4, 6)
(6, 10)
(7, 11)
(7, 9)
(6, 9)
(5, 11)
(4, 12)
(5, 10)
(5, 12)
(8, 10)
(9, 11)
(8, 8)
(9, 7)
(8, 9)
(8, 7)
(10, 5)
(8, 11)
(10, 11)
(7, 10)
(9, 12)
(7, 4)
(6, 3)
(3, 7)
(7, 12)
(10, 10)
(5, 7)
(5, 8)
(3, 9)
(11, 9)
(12, 8)
(11, 10)
(11, 8)
(10, 8)
(12, 10)
(2, 10)
(3, 11)
(2, 11)
(2, 12)
(3, 10)
(4, 9)
(2, 9)
(4, 11)
(2, 8)
(2, 7)
(0, 10)
(1, 10)
(1, 9)
White win
