(7, 7)
(8, 7)
(7, 8)
(7, 6)
(9, 8)
(8, 8)
(8, 9)
(7, 10)
(9, 10)
(10, 11)
(9, 9)
(9, 11)
(10, 9)
(11, 9)
(8, 11)
(11, 8)
(6, 9)
(7, 9)
(6, 10)
(6, 8)
(8, 10)
(11, 10)
(11, 11)
(7, 11)
(7, 12)
(6, 13)
(8, 12)
(8, 13)
(9, 12)
(6, 12)
(10, 12)
(11, 12)
(9, 6)
(9, 7)
(10, 8)
(8, 4)
(11, 7)
(12, 6)
(8, 5)
(7, 4)
(6, 4)
(5, 6)
(6, 5)
(7, 5)
(6, 6)
(6, 3)
(7, 3)
(7, 13)
(9, 13)
(12, 10)
(10, 6)
(10, 7)
(13, 10)
(5, 11)
(4, 10)
(4, 11)
(3, 10)
(3, 11)
(6, 11)
(2, 10)
(4, 12)
(5, 10)
(2, 11)
(5, 13)
(4, 13)
(5, 12)
(5, 14)
(5, 9)
White win
