(7, 7)
(8, 8)
(8, 7)
(6, 7)
(6, 8)
(8, 6)
(7, 9)
(7, 8)
(5, 6)
(5, 7)
(9, 8)
(10, 9)
(9, 10)
(9, 9)
(11, 9)
(8, 10)
(11, 7)
(10, 7)
(10, 6)
(12, 8)
(7, 11)
(11, 8)
(12, 9)
(4, 8)
(3, 9)
(4, 9)
(4, 10)
(3, 8)
(2, 8)
(5, 11)
(2, 7)
(5, 8)
(3, 10)
(5, 10)
(5, 9)
(3, 11)
(2, 6)
(2, 5)
(3, 6)
(4, 6)
(1, 7)
(0, 6)
(4, 5)
(1, 8)
(5, 4)
(6, 3)
(6, 5)
(7, 6)
(8, 5)
(7, 5)
(5, 3)
(7, 4)
(4, 4)
(3, 5)
(2, 4)
(6, 4)
(5, 5)
(5, 2)
(6, 6)
(3, 3)
(3, 4)
(1, 4)
(2, 10)
(2, 9)
(2, 3)
(1, 2)
(3, 7)
(4, 11)
(2, 11)
(6, 1)
(7, 2)
(7, 3)
(4, 1)
(8, 11)
(3, 12)
(1, 10)
(4, 7)
(0, 7)
(7, 12)
(8, 12)
(8, 9)
(9, 3)
(10, 4)
(0, 4)
(8, 3)
(0, 5)
(0, 8)
(0, 3)
White win
